category,title,author,date,view_count,comments,url
1️⃣ 한 줄 수다방,2025년 미술전시 보관 티켓중 최애는 뭘까요?^^,토이와,19:43,17,2,https://cafe.naver.com/amateurmagician/78072
✍️자유게시판,"Ktx,Srt 통합된다.",아미타,19:33,12,0,https://cafe.naver.com/amateurmagician/78071
✍️자유게시판,책 엄청 저렴하게 구매하는법 <알라딘>,라크세즈,19:02,45,0,https://cafe.naver.com/amateurmagician/78070
📝번개/아트버스 후기,[번개후기]이불정리하려다가 이불전시 보고왔어요,미리암,18:37,19,0,https://cafe.naver.com/amateurmagician/78069
🎅🏻🎄크리스마스,🎅🏻🎄크리스마스 콘테스트 1등 (써니님),차가운순대,18:31,145,22,https://cafe.naver.com/amateurmagician/78068
✍️자유게시판,2026년 1월 1일 스타벅스 이벤트 소개합니다.,파란자몽,18:29,63,2,https://cafe.naver.com/amateurmagician/78067
💓나눔게시판,[나눔완료][티켓나눔]노원아트뮤지엄 인상파전시-12/31일까지.1명,건빵,18:25,58,6,https://cafe.naver.com/amateurmagician/78066
💓나눔게시판,[나눔진행중]알폰스 무하: 빛과 꿈 전시 티켓 1장 나눔 31일 수2시,까비,18:17,55,3,https://cafe.naver.com/amateurmagician/78065
💡그때 거기,예당 르누아르 세잔전,윤결,18:06,14,2,https://cafe.naver.com/amateurmagician/78064
📢 지금 여기,제이커 교수님 강연 준비중,차가운순대,18:00,140,20,https://cafe.naver.com/amateurmagician/78063
🎅🏻🎄크리스마스,크리스마스엔 호두 ㅎㅎ,윤결,17:50,11,2,https://cafe.naver.com/amateurmagician/78062
✍️자유게시판,👑그랜드 마스터 등극: 다정주님,차가운순대,17:47,146,14,https://cafe.naver.com/amateurmagician/78061
✍️자유게시판,🏆마스터 등극: 가브링님,차가운순대,17:23,103,14,https://cafe.naver.com/amateurmagician/78060
📢 지금 여기,무슨 꽃일까요?,푸나무,17:19,40,15,https://cafe.naver.com/amateurmagician/78059
📢 지금 여기,루이비통,유안,17:15,22,1,https://cafe.naver.com/amateurmagician/78058
✍️자유게시판,해외 미술관 입력하셔도 좋아요! 현재 순위 (공동1등 마녀배달부키키님 + 바람은님),차가운순대,17:10,140,7,https://cafe.naver.com/amateurmagician/78057
🎨미술관/갤러리 후기,서울 아트쇼 2025 (feat 토이와님 나눔),1004FU,17:04,12,2,https://cafe.naver.com/amateurmagician/78056
📝번개/아트버스 후기,[번개후기]세계여행님의 첫번개~ 근사하고 따스한 연말파티 💕,바람은,16:58,84,15,https://cafe.naver.com/amateurmagician/78055
✍️자유게시판,수요일(31일)은 문화의 날인데 아프님들 계획 있으세요?,나발바닥,16:43,88,17,https://cafe.naver.com/amateurmagician/78054
🎨미술관/갤러리 후기,"롯데뮤지엄 : 타샤 튜더 탄생 110주년 기념전 <STILL, TASHA TUDOR : 행복의 아이콘 : 타샤 튜더의 삶>추천합니다.",로즈베리,16:40,17,1,https://cafe.naver.com/amateurmagician/78053
🎨미술관/갤러리 후기,코엑스 서울아트쇼 다녀왔어요~(쵸쿄커피님 나눔),푸나무,16:34,28,1,https://cafe.naver.com/amateurmagician/78052
✍️자유게시판,2025년 미술 전시 어디까지 봤니? 아트 BINGO,차가운순대,16:31,234,17,https://cafe.naver.com/amateurmagician/78051
✍️자유게시판,요며칠간 읽던 책들,라크세즈,16:10,44,4,https://cafe.naver.com/amateurmagician/78050
✍️자유게시판,그림에 머물다 마음을 씁니다-책만들기 2탄,피오나임,16:02,29,2,https://cafe.naver.com/amateurmagician/78049
✍️자유게시판,백두산 호랑이 대가족 6 마리 포착,아미타,15:55,25,3,https://cafe.naver.com/amateurmagician/78048
📢 지금 여기,신세계본점 더 리저브5층 루이뷔통전시,마미,15:51,29,1,https://cafe.naver.com/amateurmagician/78047
👋가입인사,안녕하세요,Alt,15:17,18,14,https://cafe.naver.com/amateurmagician/78046
📢 지금 여기,요르단 사해입니다..,newcloud,15:06,62,14,https://cafe.naver.com/amateurmagician/78045
📝번개/아트버스 후기,"[번개후기]까비님 롯뮤번개..행복의 아이콘,타샤튜터의 삶",너T야,15:05,14,2,https://cafe.naver.com/amateurmagician/78044
🌾경기도여행,돈 없어서 문화생활 못 한다는 말… 오늘부로 금지,공모전공유맨,15:04,96,2,https://cafe.naver.com/amateurmagician/78043
💓나눔게시판,[나눔완료]스타벅스 프리퀸시 미션 1개 / 일반 1개 나눔해요.,세계여행,15:03,39,2,https://cafe.naver.com/amateurmagician/78042
💓나눔게시판,[나눔완료]세화미술관 <노노탁 전시> 2매 나눔해요.,세계여행,15:02,42,7,https://cafe.naver.com/amateurmagician/78041
🇯🇵일본여행,교토2박3일 단풍자유여행,디아블,14:51,29,2,https://cafe.naver.com/amateurmagician/78040
🎨미술관/갤러리 후기,스페이스K 서울 :  무나씨 개인전 <우리가 지워지는 계절에> RM 소장품도 볼 수 있는 무나씨 개인전 추천해요,로즈베리,14:47,28,2,https://cafe.naver.com/amateurmagician/78039
🏫충청북도여행,저도 보고 왔습니다~ 가나가와 해변의 높은 파도 아래 (청주 박물관),푸르른날들,14:27,35,2,https://cafe.naver.com/amateurmagician/78038
🍲남의집 뭐먹나,엄마의 장바구니,나라얀,14:25,38,9,https://cafe.naver.com/amateurmagician/78037
✍️자유게시판,이미경 작가님 달력 포스터 증정 이벤트,아미타,14:17,65,4,https://cafe.naver.com/amateurmagician/78036
✍️자유게시판,오디움  오디오 콘서트 예약안내 (1월 ),연지빛,14:13,105,21,https://cafe.naver.com/amateurmagician/78035
📝번개/아트버스 후기,"[번개후기]까비님과 함께한 롯데뮤지엄 < Still, Tasha Tudor : 행복의 아이콘, 타샤 튜더의 삶 >",바람은,14:05,37,8,https://cafe.naver.com/amateurmagician/78034
📝번개/아트버스 후기,[번개후기]동대문 DDP 뮤지엄2관 전시_울트라백화점 서울_여럿이 가야 재밌어요.,제씨킴,13:57,45,10,https://cafe.naver.com/amateurmagician/78033
🎨전시오픈/할인/추천,[예정전시] 박신양 전시쑈,연지빛,13:37,108,11,https://cafe.naver.com/amateurmagician/78032
🍲남의집 뭐먹나,샐러드냐 파스타냐 고민하지 마세요~,민아트럽,13:28,74,15,https://cafe.naver.com/amateurmagician/78031
📝번개/아트버스 후기,[아트버스후기]한 해의 마무리도 아프에서 아트아트하게~(청주아트버스 최곱니다),멋진꿈,13:26,29,10,https://cafe.naver.com/amateurmagician/78030
📝번개/아트버스 후기,[번개후기]울트라 백화점 서울 @ DDP (feat. 까비님 번개 ✨) 마무리는 뮤지컬 테이크오프 💙,해이즐,12:55,45,13,https://cafe.naver.com/amateurmagician/78029
✍️자유게시판,쿠팡 개인 정보 유출 보상금 지급 결정,아미타,12:44,80,10,https://cafe.naver.com/amateurmagician/78028
📝번개/아트버스 후기,[번개후기]울트라백화점 서울 시즌1 (~2026.01.11까지) 다녀왔어요.^^ *까비님,토이와,12:41,33,4,https://cafe.naver.com/amateurmagician/78027
🎨미술관/갤러리 후기,어제 다녀온 리움미술관 ✨,후시딘,12:05,40,6,https://cafe.naver.com/amateurmagician/78025
📝번개/아트버스 후기,"어제 일요일엔 대기 2시간, 정말 운이 좋았던 토요일 국립청주박물관 아트버스",미술관가는날,12:05,163,21,https://cafe.naver.com/amateurmagician/78024
⚡번개 공지,"[모집중]출간 기념 이벤트 ② <당일치기 조선여행 전국편> 후기, 기대평 남겨주시겠습니까? 26년 첫 번개 ~!!",이용규 가이드,12:02,168,15,https://cafe.naver.com/amateurmagician/78022
📚서평/초대권이벤트,[서평이벤트]출간 기념 이벤트 ① <당일치기 조선여행 전국편> 서평단을 모집합니다. 10명~!! 25년 12월 31일까지.,이용규 가이드,12:02,100,10,https://cafe.naver.com/amateurmagician/78021
✍️자유게시판,2025 아트프렌즈 올해의 전시 투표 결과 발표,연지빛,11:39,122,20,https://cafe.naver.com/amateurmagician/78017
📚서평/초대권이벤트,[서평이벤트]<미술관에서 집중력 찾기> 서평단을 발표합니다.,책장속북스,11:39,45,6,https://cafe.naver.com/amateurmagician/78016
🎨미술관/갤러리 후기,"[인천 송도 국립세계문자박물관] 천천히 서둘러라:알도 마누치오, 세상을 바꾼 위대한 출판인",히로인,10:59,24,4,https://cafe.naver.com/amateurmagician/78015
📝번개/아트버스 후기,"[아트버스후기][첫아트버스] 국립청주박물관 ""우키요에"" 특별전시",제니퍼리,10:49,41,7,https://cafe.naver.com/amateurmagician/78014
